Node_ID,Trust_Direct,Trust_Indirect,Trust_Overall,Attack_Type,Malicious_Prob,Trans_Rate,PDR,Delay,Energy,Path_Selected,Packet_Loss,Anomaly_Score,Label
N154,0.621,0.272,0.446,Sybil Attack,0.068,41,63.94,26.71,0.955,P4->P13->P26,16.38,0.929,0
N1,0.67,0.961,0.816,Sybil Attack,0.508,10,77.03,31.53,4.689,P8->P14->P30,18.66,0.585,1
N98,0.802,0.769,0.786,Normal,0.582,24,69.26,41.83,1.789,P10->P14->P25,50.4,0.532,0
N29,0.353,0.291,0.322,Sybil Attack,0.084,80,82.41,44.63,0.671,P6->P19->P25,57.42,0.125,0
N15,0.399,0.999,0.699,Normal,0.918,72,53.73,7.76,3.152,P5->P15->P24,52.47,0.538,0
N140,0.738,0.229,0.484,Sybil Attack,0.527,25,80.36,20.67,2.237,P3->P12->P27,49.17,0.085,1
N170,0.811,0.963,0.887,Normal,0.662,92,68.47,35.85,2.908,P9->P16->P25,52.34,0.53,0
N151,0.546,0.363,0.454,Sybil Attack,0.741,32,84.97,48.58,2.1,P8->P19->P22,11.94,0.669,1
N112,0.651,0.533,0.592,Sybil Attack,0.56,61,65.2,42.57,1.817,P9->P11->P23,47.44,0.895,1
N18,0.568,0.554,0.561,Normal,0.224,40,64.98,8.03,1.899,P4->P14->P25,13.99,0.523,0
N137,0.424,0.919,0.672,Normal,0.503,72,56.7,27.95,1.185,P9->P16->P25,1.19,0.04,0
N151,0.694,0.619,0.656,Sybil Attack,0.353,51,59.42,20.66,1.103,P3->P14->P23,9.21,0.51,0
N108,0.605,0.972,0.788,Sybil Attack,0.69,18,73.34,17.07,4.992,P7->P15->P28,11.32,0.607,1
N192,0.792,0.385,0.588,Sybil Attack,0.564,55,62.17,39.98,4.732,P8->P15->P21,44,0.055,1
N69,0.793,0.696,0.744,Sybil Attack,0.751,72,69.59,47.99,3.27,P3->P20->P25,35.07,0.235,1
N113,0.95,0.975,0.962,Normal,0.279,32,91.35,34.48,4.795,P6->P12->P24,13.74,0.657,0
N107,0.671,0.252,0.462,Sybil Attack,0.995,58,66.18,39.91,2.481,P1->P20->P26,12.06,0.935,1
N101,0.717,0.863,0.79,Normal,0.449,61,69.85,9.03,1.244,P10->P13->P28,11.46,0.926,0
N137,0.947,0.725,0.836,Sybil Attack,0.61,69,78.62,35.39,2.396,P4->P12->P25,42.93,0.569,1
N27,0.828,0.776,0.802,Sybil Attack,0.448,18,66.57,25.1,3.035,P8->P19->P27,22.91,0.302,0
N11,0.387,0.583,0.485,Sybil Attack,0.522,34,76.14,9.34,4.615,P6->P12->P25,6.79,0.297,1
N32,0.931,0.499,0.715,Sybil Attack,0.833,86,86.72,41.71,1.729,P2->P20->P29,3.47,0.24,1
N167,0.546,0.965,0.756,Sybil Attack,0.104,16,69.27,9.75,3.398,P7->P20->P27,8.89,0.265,0
N185,0.548,0.625,0.586,Sybil Attack,0.005,43,85.36,7.04,1.346,P6->P18->P21,30.6,0.397,0
N152,0.855,0.201,0.528,Normal,0.098,57,97.58,18.74,4.163,P2->P17->P29,50.98,0.455,0
N69,0.736,0.43,0.583,Normal,0.246,90,97.43,39.57,3.509,P4->P20->P24,44.42,0.806,0
N16,0.642,0.508,0.575,Normal,0.627,53,61.79,5.84,3.338,P10->P17->P28,45.94,0.908,0
N50,0.78,0.948,0.864,Sybil Attack,0.991,37,84.26,11.9,3.274,P10->P13->P30,30.45,0.573,1
N69,0.329,0.332,0.33,Normal,0.308,20,53.09,6.1,0.861,P10->P19->P30,6,0.863,0
N138,0.809,0.797,0.803,Normal,0.132,86,50.42,40.06,0.509,P9->P14->P25,3.53,0.39,0
N58,0.794,0.495,0.645,Normal,0.165,56,62.82,33.05,2.605,P4->P14->P26,43.96,0.039,0
N133,0.813,0.591,0.702,Sybil Attack,0.498,17,87.6,19.09,1.366,P6->P13->P25,2.46,0.45,0
N52,0.696,0.342,0.519,Sybil Attack,0.228,85,93.83,31.67,2.935,P5->P18->P29,11.92,0.197,0
N87,0.925,0.96,0.942,Normal,0.743,94,81.98,10.66,1.349,P3->P11->P30,37.57,0.55,0
N12,0.646,0.69,0.668,Normal,0.787,27,70.95,13.26,4.306,P9->P12->P27,54.62,0.195,0
N14,0.407,0.496,0.452,Sybil Attack,0.849,14,97.12,20.74,0.637,P2->P19->P27,2.73,0.541,1
N133,0.49,0.354,0.422,Normal,0.998,98,71.09,11.34,1.846,P8->P13->P29,56.82,0.917,0
N127,0.953,0.7,0.826,Normal,0.555,71,75.41,27.41,4.206,P5->P15->P30,2.44,0.505,0
N69,0.51,0.841,0.676,Normal,0.163,92,85.21,28.31,4.638,P3->P20->P21,29.61,0.588,0
N141,0.72,0.288,0.504,Sybil Attack,0.188,55,88.58,46.08,4.441,P7->P16->P24,40.54,0.207,0
N73,0.628,0.372,0.5,Normal,0.25,25,99.38,30.2,4.136,P3->P19->P24,30.77,0.574,0
N146,0.658,0.68,0.669,Sybil Attack,0.767,12,84.53,44.79,3.075,P3->P13->P29,47.66,0.24,1
N198,0.605,0.478,0.542,Sybil Attack,0.226,49,55.33,46.66,1.924,P4->P11->P25,37.68,0.691,0
N140,0.776,0.59,0.683,Normal,0.229,19,69.04,26.93,4.307,P7->P16->P25,11.76,0.203,0
N71,0.385,0.225,0.305,Normal,0.772,43,64.95,16.11,2.46,P3->P19->P22,55.03,0.719,0
N160,0.347,0.395,0.371,Normal,0.361,85,50.71,26.49,2.166,P9->P16->P26,7.14,0.044,0
N189,0.903,0.925,0.914,Sybil Attack,0.564,51,90.46,37.13,2.844,P9->P12->P29,5.02,0.055,1
N183,0.517,0.724,0.62,Sybil Attack,0.259,70,82.08,42.26,4.405,P6->P18->P21,0.61,0.118,0
N132,0.968,0.362,0.665,Normal,0.098,10,92.08,35.01,2.648,P2->P20->P26,1.34,0.524,0
N91,0.867,0.319,0.593,Normal,0.285,80,50.45,21.86,1.259,P2->P13->P24,19.06,0.412,0
N58,0.765,0.895,0.83,Normal,0.614,96,68.53,18.78,3.968,P8->P14->P23,1.74,0.925,0
N21,0.844,0.295,0.57,Sybil Attack,0.704,68,50.57,45.9,4.969,P8->P16->P30,3.31,0.105,1
N196,0.603,0.957,0.78,Sybil Attack,0.542,37,70.47,7,4.291,P2->P15->P28,17.64,0.922,1
N6,0.592,0.354,0.473,Normal,0.722,97,75.72,18.15,4.739,P8->P19->P30,32.27,0.581,0
N39,0.899,0.236,0.568,Normal,0.428,84,68.67,29.77,1.91,P9->P18->P21,19.07,0.696,0
N59,0.623,0.895,0.759,Normal,0.443,83,63.03,21.31,1.497,P7->P20->P21,15.15,0.356,0
N38,0.563,0.26,0.412,Sybil Attack,0.333,57,76.77,38.84,0.781,P9->P16->P23,15.3,0.414,0
N168,0.747,0.757,0.752,Sybil Attack,0.27,54,91.85,16.46,3.406,P5->P13->P27,6.58,0.682,0
N28,0.838,0.373,0.605,Normal,0.112,64,65.8,26.71,4.489,P4->P12->P29,45.64,0.809,0
N148,0.643,0.725,0.684,Normal,0.252,58,78.92,27.31,4.055,P7->P13->P26,3.05,0.867,0
N190,0.203,0.592,0.397,Sybil Attack,0.57,34,95.32,31.73,0.927,P10->P19->P23,47.36,0.291,1
N10,0.323,0.376,0.35,Sybil Attack,0.817,33,86.58,23.41,3.621,P5->P20->P30,25.13,0.1,1
N45,0.905,0.544,0.724,Normal,0.242,87,53.11,9.66,4.115,P3->P18->P26,17.19,0.956,0
N28,0.246,0.709,0.478,Normal,0.363,41,97.02,28.28,2.475,P10->P17->P29,4.59,0.147,0
N190,0.39,0.565,0.478,Sybil Attack,0.85,23,84.88,16.58,3.772,P5->P19->P24,18.5,0.696,1
N12,0.873,0.703,0.788,Normal,0.96,54,72.81,30.87,1.448,P7->P20->P24,27.11,0.343,0
N18,0.422,0.843,0.632,Sybil Attack,0.606,66,89.81,31.57,3.886,P9->P16->P25,47.48,0.328,1
N73,0.481,0.637,0.559,Normal,0.139,89,76.77,40.91,0.65,P10->P18->P30,59.94,0.379,0
N64,0.95,0.937,0.944,Normal,0.71,20,64.9,26.59,4.97,P7->P12->P27,4.78,0.094,0
N139,0.478,0.631,0.554,Normal,0.873,87,72.38,30.95,4.243,P6->P14->P26,4.82,0.389,0
N93,0.25,0.777,0.514,Sybil Attack,0.863,50,79.44,9.2,3.572,P4->P19->P29,10.83,0.074,1
N32,0.663,0.251,0.457,Normal,0.131,41,82.87,33.39,0.625,P6->P17->P23,38.27,0.884,0
N158,0.678,0.746,0.712,Sybil Attack,0.409,60,78.66,12.79,1.987,P9->P17->P25,45.31,0.707,0
N89,0.602,0.474,0.538,Sybil Attack,0.288,45,72.7,23.82,1.953,P9->P17->P25,33.05,0.693,0
N150,0.752,0.298,0.525,Sybil Attack,0.738,36,80.5,41.61,4.024,P6->P20->P30,58.56,0.027,1
N20,0.452,0.633,0.542,Sybil Attack,0.109,31,90.55,10.43,0.643,P10->P15->P21,38.91,0.126,0
N135,0.33,0.375,0.353,Sybil Attack,0.053,89,52.9,35.35,0.711,P2->P13->P25,40.33,0.383,0
N80,0.584,0.739,0.662,Normal,0.608,15,99.69,35.65,2.735,P2->P15->P24,21.34,0.26,0
N182,0.79,0.314,0.552,Sybil Attack,0.59,56,60.97,7.9,2.226,P10->P13->P23,6.6,0.607,1
N62,0.226,0.278,0.252,Normal,0.936,92,72.68,42.62,2.445,P9->P15->P24,42.47,0.798,0
N63,0.28,0.758,0.519,Normal,0.447,44,79.45,5.87,3.642,P2->P12->P28,11.49,0.683,0
N173,0.765,0.22,0.492,Normal,0.734,33,98.32,43,3.865,P10->P18->P23,40.99,0.946,0
N83,0.261,0.809,0.535,Sybil Attack,0.245,85,66.66,13.95,4.015,P4->P15->P27,13.71,0.739,0
N162,0.526,0.564,0.545,Sybil Attack,0.614,76,63.36,17.71,4.394,P2->P15->P24,56.13,0.968,1
N200,0.409,0.837,0.623,Sybil Attack,0.808,53,53.91,44.91,3.69,P7->P13->P21,12.69,0.937,1
N86,0.548,0.692,0.62,Normal,0.809,49,56.76,44.65,3.236,P10->P14->P22,30.11,0.501,0
N92,0.763,0.742,0.752,Sybil Attack,0.485,99,68.35,42.22,4.61,P5->P19->P30,20.92,0.771,0
N78,0.949,0.402,0.676,Normal,0.737,63,67.44,42.29,0.677,P5->P16->P27,33.39,0.532,0
N177,0.497,0.306,0.401,Normal,0.466,98,78.29,5.73,4.05,P8->P12->P26,48.27,0.64,0
N182,0.993,0.32,0.656,Sybil Attack,0.629,38,81.69,46.4,4.527,P2->P15->P29,4.19,0.368,1
N39,0.343,0.529,0.436,Sybil Attack,0.749,31,98.01,28.38,4.738,P5->P11->P24,52.04,0.49,1
N171,0.851,0.564,0.708,Normal,0.291,69,65.64,33.7,1.474,P4->P20->P28,12.22,0.57,0
N151,0.634,0.651,0.643,Normal,0.504,96,72.29,18.22,1.079,P2->P16->P28,1.4,0.34,0
N97,0.594,0.978,0.786,Normal,0.944,51,97.86,35.03,2.614,P3->P11->P24,53.57,0.518,0
N173,0.271,0.854,0.562,Sybil Attack,0.133,65,71.86,12.81,1.408,P4->P17->P21,4.67,0.679,0
N138,0.98,0.749,0.864,Normal,0.595,64,61.71,20.63,1.029,P4->P18->P25,1.05,0.921,0
N78,0.421,0.446,0.434,Sybil Attack,0.876,59,63.91,47.44,2.999,P7->P19->P21,8.91,0.803,1
N178,0.266,0.353,0.31,Normal,0.734,68,55.05,11.19,3.902,P10->P12->P28,40.69,0.957,0
N111,0.933,0.667,0.8,Sybil Attack,0.248,39,67.97,45.38,2.399,P8->P15->P22,59.1,0.123,0
N24,0.475,0.515,0.495,Sybil Attack,0.539,35,79.76,32.21,2.989,P5->P20->P29,58.37,0.994,1
N69,0.361,0.442,0.401,Sybil Attack,0.108,84,83.04,24.92,1.314,P2->P13->P21,27.12,0.846,0
N200,0.704,0.903,0.804,Sybil Attack,0.908,97,75.24,25.67,1.283,P2->P17->P24,9.82,0.371,1
N106,0.449,0.56,0.505,Normal,0.995,82,62.87,21.28,4.361,P7->P11->P23,18.89,0.329,0
N30,0.468,0.838,0.653,Sybil Attack,0.294,68,72.67,20.09,1.12,P10->P17->P27,2.39,0.676,0
N194,0.955,0.232,0.594,Sybil Attack,0.169,96,97.24,46.09,4.638,P9->P11->P27,41.62,0.623,0
N74,0.554,0.577,0.566,Normal,0.903,68,82.28,36.76,1.091,P10->P12->P24,19.82,0.181,0
N88,0.605,0.608,0.606,Normal,0.857,66,52.34,7.16,2.074,P6->P15->P23,42.5,0.906,0
N60,0.452,0.609,0.53,Sybil Attack,0.432,17,89.57,44.03,1.303,P2->P15->P27,30.22,0.83,0
N86,0.746,0.642,0.694,Sybil Attack,0.946,53,85.13,32.73,4.139,P1->P15->P21,38.45,0.825,1
N10,0.983,0.967,0.975,Sybil Attack,0.448,70,52.74,49.41,2.585,P6->P12->P22,33.76,0.418,0
N115,0.7,0.563,0.632,Normal,0.948,71,53.46,41.6,4.401,P2->P13->P29,14.44,0.481,0
N6,0.702,0.752,0.727,Normal,0.248,65,72.8,38.91,1.326,P9->P13->P27,14.23,0.127,0
N171,0.459,0.628,0.544,Normal,0.663,28,93.62,8.06,3.271,P6->P19->P23,14.75,0.775,0
N112,0.236,0.745,0.49,Sybil Attack,0.41,44,91.54,13.95,3.803,P5->P15->P24,21.4,0.345,0
N139,0.286,0.717,0.501,Normal,0.254,54,78.64,40.84,2.235,P5->P16->P22,31.82,0.276,0
N143,0.744,0.6,0.672,Normal,0.846,85,51.7,43.69,3.43,P6->P12->P22,44.37,0.887,0
N90,0.896,0.847,0.871,Sybil Attack,0.382,15,50.35,44.95,0.891,P8->P12->P25,56.86,0.899,0
N65,0.863,0.277,0.57,Normal,0.473,21,88.39,24.99,1.497,P3->P15->P23,36.27,0.193,0
N126,0.673,0.95,0.812,Sybil Attack,0.661,46,89.98,18.54,0.6,P6->P19->P21,31.58,0.735,1
N36,0.72,0.273,0.496,Sybil Attack,0.652,10,78.49,6.01,1.533,P4->P18->P22,3.51,0.97,1
N159,0.273,0.803,0.538,Normal,0.759,16,71.1,37.48,4.479,P4->P12->P24,10.1,0.854,0
N92,0.827,0.653,0.74,Normal,0.726,48,89.63,32.57,1.395,P5->P19->P30,4.85,0.273,0
N78,0.618,0.919,0.768,Sybil Attack,0.364,86,51.95,33.49,4.611,P9->P19->P26,4.52,0.921,0
N84,0.926,0.959,0.942,Sybil Attack,0.409,21,97.64,9.01,1.001,P6->P14->P29,30.62,0.536,0
N167,0.312,0.883,0.598,Sybil Attack,0.717,29,66.64,11.81,2.431,P1->P13->P27,18.65,0.601,1
N122,0.555,0.964,0.76,Sybil Attack,0.369,55,55.71,10.15,2.879,P7->P15->P27,41.35,0.653,0
N158,0.913,0.525,0.719,Normal,0.219,52,94.19,32.29,3.836,P5->P15->P24,8.61,0.814,0
N187,0.899,0.876,0.888,Normal,0.93,60,50.5,11.08,0.835,P6->P14->P26,51.47,0.405,0
N20,0.797,0.483,0.64,Normal,0.461,99,50.99,47.37,3.46,P4->P15->P22,21.64,0.416,0
N135,0.311,0.807,0.559,Sybil Attack,0.607,43,84.51,23.31,2.677,P9->P12->P30,30.65,0.216,1
N89,0.851,0.766,0.808,Sybil Attack,0.81,51,69.41,17.56,1.843,P2->P15->P27,12.61,0.727,1
N94,0.376,0.275,0.326,Normal,0.42,37,96.21,22.01,0.778,P6->P19->P26,43.36,0.781,0
N102,0.746,0.554,0.65,Sybil Attack,0.593,96,55.12,41.75,0.724,P7->P19->P21,59.85,0.208,1
N180,0.361,0.254,0.308,Normal,0.232,68,52.74,13.55,0.965,P1->P18->P30,28.78,0.68,0
N151,0.924,0.36,0.642,Sybil Attack,0.384,88,77.9,47.82,3.418,P2->P11->P30,7.4,0.614,0
N109,0.377,0.256,0.316,Normal,0.153,23,98.42,44.14,2.871,P2->P16->P22,10.62,0.793,0
N200,0.635,0.499,0.567,Normal,0.017,12,63.56,27.9,1.247,P9->P16->P26,21.06,0.543,0
N68,0.646,0.507,0.576,Sybil Attack,0.608,59,93.82,20.97,1.523,P1->P14->P24,1.41,0.318,1
N12,0.31,0.774,0.542,Normal,0.288,64,73.5,42.2,0.762,P3->P11->P27,14.54,0.85,0
N196,0.945,0.477,0.711,Normal,0.216,44,77.92,21.79,2.954,P4->P16->P27,20.8,0.802,0
N195,0.745,0.406,0.576,Normal,0.822,21,60.8,33.73,2.58,P10->P18->P24,9.17,0.522,0
N8,0.514,0.741,0.628,Normal,0.102,47,74.98,30.19,1.568,P4->P15->P28,44.46,0.725,0
N107,0.413,0.865,0.639,Sybil Attack,0.413,70,78.56,5.34,4.874,P8->P19->P29,55.98,0.228,0
N25,0.419,0.639,0.529,Sybil Attack,0.159,52,89.6,7.98,3.307,P4->P14->P26,25.94,0.38,0
N54,0.959,0.826,0.892,Sybil Attack,0.375,41,79.67,45.91,1.367,P4->P15->P28,42.68,0.345,0
N19,0.958,0.3,0.629,Sybil Attack,0.376,45,75.22,33.73,0.812,P8->P20->P27,31.96,0.827,0
N32,0.637,0.365,0.501,Normal,0.926,44,56.04,22.01,4.77,P9->P15->P30,10.11,0.295,0
N159,0.926,0.706,0.816,Normal,0.28,45,60.84,43.22,2.642,P7->P18->P23,19.51,0.67,0
N50,0.705,0.627,0.666,Normal,0.071,33,83.3,36.24,0.523,P4->P15->P27,51.25,0.057,0
N41,0.79,0.707,0.748,Normal,0.003,80,66.38,21.51,3.288,P2->P18->P21,9.69,0.677,0
N5,0.62,0.755,0.688,Normal,0.173,87,54.08,38.33,2.419,P4->P15->P27,51.62,0.439,0
N71,0.694,0.911,0.802,Sybil Attack,0.015,42,54.38,23.14,1.762,P8->P13->P22,33.6,0.413,0
N128,0.99,0.659,0.824,Sybil Attack,0.001,99,58.5,43.84,4.804,P6->P14->P27,16.99,0.382,0
N151,0.514,0.51,0.512,Normal,0.841,62,96.04,36.2,4.543,P4->P16->P22,50.17,0.786,0
N5,0.395,0.753,0.574,Sybil Attack,0.774,54,52.01,6.19,4.772,P8->P14->P27,12.47,0.914,1
N150,0.523,0.387,0.455,Normal,0.213,43,58.23,43.98,4.164,P9->P12->P25,55.59,0.699,0
N3,0.483,0.58,0.532,Normal,0.881,75,91.17,20.88,1.485,P2->P18->P25,2.25,0.64,0
N71,0.831,0.826,0.828,Normal,0.742,18,87.5,18.61,3.078,P4->P14->P23,15.55,0.422,0
N85,0.712,0.455,0.584,Sybil Attack,0.646,36,50.33,7.9,4.867,P3->P14->P21,17.08,0.285,1
N56,0.875,0.379,0.627,Sybil Attack,0.033,34,66.53,48.46,2.056,P10->P13->P27,0.55,0.498,0
N174,0.316,0.748,0.532,Normal,0.027,93,89.67,8.34,4.402,P7->P15->P27,1.32,0.21,0
N91,0.404,0.512,0.458,Normal,0.879,32,97.84,12,1.97,P1->P20->P30,7.19,0.459,0
N10,0.75,0.691,0.72,Normal,0.458,35,65.8,47.29,1.775,P2->P17->P24,49.25,0.062,0
N58,0.463,0.773,0.618,Normal,0.809,28,83.68,8.94,3.899,P8->P13->P26,14.57,0.967,0
N95,0.608,0.42,0.514,Normal,0.963,83,71.9,38.91,2.348,P10->P14->P21,41.93,0.846,0
N135,0.384,0.238,0.311,Normal,0.115,45,54.02,29.51,4.993,P8->P20->P25,21.41,0.619,0
N181,0.351,0.548,0.45,Sybil Attack,0.349,22,68.27,40.9,1.123,P4->P18->P24,16.08,0.641,0
N45,0.597,0.527,0.562,Normal,0.407,26,50.06,44.1,2.375,P3->P13->P27,37.24,0.628,0
N176,0.851,0.841,0.846,Sybil Attack,0.058,17,59.41,32.8,3.596,P1->P19->P27,2.14,0.497,0
N156,0.609,0.828,0.718,Sybil Attack,0.27,11,68.21,45.61,3.391,P2->P19->P24,19.75,0.601,0
N128,0.574,0.837,0.706,Sybil Attack,0.914,15,53.95,34.14,3.86,P3->P20->P25,45.35,0.63,1
N178,0.885,0.749,0.817,Sybil Attack,0.146,49,93.87,45.14,4.51,P4->P11->P24,22.48,0.735,0
N5,0.897,0.784,0.84,Sybil Attack,0.214,69,88.42,30.58,3.278,P6->P19->P30,49.57,0.683,0
N108,0.47,0.787,0.629,Sybil Attack,0.912,72,56.12,22.91,2.226,P7->P11->P24,4.95,0.668,1
N165,0.48,0.661,0.57,Sybil Attack,0.872,61,60.9,14.46,4.391,P6->P14->P29,42.44,0.276,1
N87,0.955,0.938,0.946,Sybil Attack,0.856,78,59.45,45.28,3.415,P10->P14->P24,50.83,0.98,1
N63,0.716,0.332,0.524,Normal,0.296,18,93.07,10.19,1.353,P3->P15->P29,47.21,0.78,0
N88,0.395,0.589,0.492,Sybil Attack,0.04,60,71.06,27.8,4.033,P3->P13->P22,33.89,0.653,0
N50,0.266,0.273,0.27,Sybil Attack,0.521,44,93.55,30.75,1.383,P10->P17->P27,17.32,0.154,1
N98,0.83,0.655,0.742,Sybil Attack,0.093,72,94.06,15.63,0.831,P7->P15->P22,29.52,0.358,0
N193,0.6,0.728,0.664,Normal,0.675,41,79.51,15.91,2.771,P4->P12->P26,52.82,0.4,0
N5,0.583,0.564,0.573,Normal,0.89,21,94.53,28.2,4.649,P10->P18->P28,28.45,0.542,0
N109,0.315,0.656,0.486,Sybil Attack,0.108,34,51.89,39.6,2.747,P4->P13->P28,6.72,0.315,0
N46,0.766,0.633,0.7,Normal,0.785,59,52.26,31.78,4.439,P10->P12->P28,23.84,0.69,0
N25,0.403,0.228,0.316,Normal,0.251,37,56.32,41.18,4.839,P2->P13->P22,14.86,0.207,0
N109,0.317,0.754,0.536,Sybil Attack,0.013,82,66.82,12.77,4.534,P8->P14->P29,2.59,0.437,0
N3,0.672,0.362,0.517,Sybil Attack,0.932,84,55.05,27.44,4.42,P10->P16->P23,14.89,0.723,1
N67,0.591,0.686,0.639,Sybil Attack,0.51,86,58.68,25.5,2.582,P4->P16->P21,46.03,0.002,1
N112,0.824,0.252,0.538,Normal,0.982,70,86.12,12.41,3.026,P4->P15->P29,1.82,0.611,0
N1,0.478,0.912,0.695,Normal,0.023,83,71.22,9.63,1.738,P10->P18->P28,26.66,0.074,0
N166,0.771,0.935,0.853,Normal,0.17,93,69.7,41.23,2.416,P1->P11->P24,47.8,0.429,0
N46,0.26,0.364,0.312,Normal,0.517,36,99.9,49.17,0.687,P2->P12->P24,34.03,0.68,0
N39,0.707,0.541,0.624,Sybil Attack,0.482,54,97.78,37.05,2.855,P7->P19->P30,27.45,0.928,0
N165,0.639,0.548,0.594,Sybil Attack,0.982,49,68.95,5.76,2.028,P1->P20->P25,59.09,0.901,1
N97,0.845,0.285,0.565,Normal,0.576,63,62.72,28.02,1.31,P8->P13->P22,38.7,0.109,0
N89,0.75,0.644,0.697,Normal,0.115,70,57.75,47.66,3.625,P10->P12->P24,31.2,0.83,0
N200,0.835,0.685,0.76,Sybil Attack,0.429,93,69.17,34.69,3.261,P1->P14->P29,50.77,0.551,0
N102,0.867,0.925,0.896,Sybil Attack,0.421,98,79.11,29.9,4.198,P9->P16->P21,28.32,0.081,0
N22,0.239,0.607,0.423,Sybil Attack,0.529,94,71.93,16.7,4.91,P5->P19->P28,20.05,0.434,1
N51,0.753,0.594,0.674,Sybil Attack,0.728,72,64.75,18.14,1.42,P9->P16->P29,32.45,0.017,1
N167,0.315,0.777,0.546,Sybil Attack,0.095,95,94.23,34.47,0.605,P7->P12->P24,47.83,0.778,0
N80,0.289,0.904,0.596,Normal,0.65,63,56.19,16.05,0.684,P1->P15->P26,47.2,0.208,0
N65,0.733,0.96,0.846,Normal,0.788,53,56.86,19.16,0.845,P2->P14->P24,15.02,0.2,0
N39,0.713,0.306,0.509,Normal,0.07,37,79.73,35.2,4.605,P6->P15->P22,52.33,0.469,0
N45,0.98,0.684,0.832,Sybil Attack,0.737,86,54.77,8.16,3.245,P1->P11->P26,19.26,0.048,1
N71,0.391,0.297,0.344,Sybil Attack,0.196,39,69.59,34.5,3.389,P3->P18->P28,16.3,0.115,0
N159,0.821,0.502,0.662,Sybil Attack,0.204,33,81.07,34,2.436,P2->P16->P30,35.77,0.631,0
N36,0.311,0.208,0.26,Sybil Attack,0.738,58,76.21,28.21,3.252,P3->P18->P25,33.23,0.723,1
N29,0.298,0.265,0.282,Normal,0.402,38,67.48,44.01,3.021,P8->P13->P23,18.23,0.249,0
N40,0.799,0.432,0.616,Sybil Attack,0.59,98,91.87,11.15,4.857,P6->P15->P22,35.93,0.831,1
N41,0.446,0.362,0.404,Normal,0.32,56,52.96,27.84,1.14,P1->P13->P21,26.5,0.666,0
N1,0.424,0.565,0.494,Normal,0.497,61,86.78,25.97,2.312,P3->P16->P25,37.62,0.533,0
N37,0.388,0.556,0.472,Normal,0.416,86,62.53,34.15,3.037,P9->P15->P29,55.61,0.547,0
N6,0.772,0.94,0.856,Normal,0.9,17,92.68,26.81,2.977,P5->P17->P24,28.37,0.571,0
N148,0.844,0.436,0.64,Normal,0.69,63,78.77,38.75,2.161,P7->P17->P27,15.3,0.029,0
N183,0.747,0.73,0.738,Normal,0.754,35,58.87,12.06,1.784,P6->P19->P27,11.89,0.207,0
N24,0.892,0.582,0.737,Sybil Attack,0.961,67,78.57,28.86,1.003,P2->P17->P21,33.66,0.032,1
N177,0.849,0.862,0.855,Normal,0.491,85,80.99,35.76,2.22,P9->P19->P28,25.53,0.977,0
N115,0.745,0.329,0.537,Normal,0.694,14,82.28,36.81,2.312,P2->P13->P23,23.32,0.378,0
N114,0.448,0.705,0.576,Sybil Attack,0.588,98,66.32,14.19,4.594,P6->P14->P26,34.27,0.563,1
N64,0.412,0.599,0.505,Normal,0.615,87,54.04,45.76,3.483,P8->P12->P24,22.32,0.789,0
N99,0.901,0.745,0.823,Normal,0.396,48,87.61,23.91,2.895,P3->P11->P27,22.52,0.136,0
N112,0.268,0.3,0.284,Normal,0.801,18,61.22,20.23,2.164,P9->P20->P22,46.62,0.626,0
N168,0.416,0.616,0.516,Sybil Attack,0.952,48,98.43,18.12,0.785,P5->P16->P22,39.15,0.964,1
N62,0.946,0.825,0.886,Normal,0.522,87,54.38,23.78,3.712,P9->P20->P21,35.21,0.79,0
N186,0.861,0.347,0.604,Normal,0.806,70,52.01,24.57,0.809,P7->P11->P23,30.22,0.197,0
N158,0.239,0.833,0.536,Sybil Attack,0.206,74,71.88,26.45,3.855,P4->P15->P24,42.02,0.691,0
N106,0.63,0.502,0.566,Normal,0.217,20,87.57,49.78,3.013,P3->P19->P30,15.8,0.545,0
N68,0.835,0.439,0.637,Sybil Attack,0.255,12,88.53,19.06,1.463,P4->P15->P25,6.28,0.872,0
N12,0.473,0.781,0.627,Sybil Attack,0.861,68,57.9,45.21,4.95,P5->P18->P22,45.58,0.825,1
N179,0.63,0.644,0.637,Sybil Attack,0.831,34,78.42,30.76,3.401,P5->P19->P22,1.36,0.417,1
N53,0.869,0.361,0.615,Sybil Attack,0.03,40,79.73,25.39,0.953,P6->P11->P24,42.16,0.606,0
N160,0.249,0.315,0.282,Sybil Attack,0.908,79,99.05,18.62,1.139,P1->P11->P29,44.69,0.567,1
N146,0.71,0.766,0.738,Normal,0.246,49,88.29,38.06,0.621,P6->P14->P23,4.76,0.429,0
N168,0.583,0.879,0.731,Sybil Attack,0.973,16,80.89,49.34,0.51,P9->P15->P26,48.32,0.665,1
N62,0.538,0.369,0.454,Normal,0.328,78,52.87,33.26,2.938,P3->P16->P30,24.61,0.354,0
N198,0.965,0.203,0.584,Sybil Attack,0.106,66,53.2,9.17,3.272,P9->P12->P24,4.29,0.485,0
N98,0.837,0.606,0.722,Sybil Attack,0.099,77,90.34,22.92,2.699,P9->P11->P23,51.1,0.959,0
N94,0.373,0.249,0.311,Normal,0.243,68,79.54,42.25,2.347,P7->P20->P21,0.92,0.499,0
